,OAT
2018-07-16 11:00:00,37166.6330561
2018-07-16 11:01:00,37166.6330561
2018-07-16 11:02:00,37166.6330561
2018-07-16 11:03:00,37166.6330561
2018-07-16 11:04:00,37166.6330561
2018-07-16 11:05:00,37166.6330561
2018-07-16 11:06:00,37166.6330561
2018-07-16 11:07:00,37166.6330561
2018-07-16 11:08:00,37172.9687071
2018-07-16 11:09:00,37166.6330561
2018-07-16 11:10:00,37166.6330561
2018-07-16 11:11:00,37166.6330561
2018-07-16 11:12:00,37166.6330561
2018-07-16 11:13:00,37166.6330561
2018-07-16 11:14:00,37169.8008816
2018-07-16 11:15:00,37166.6330561
2018-07-16 11:16:00,37166.6330561
2018-07-16 11:17:00,37172.9687071
2018-07-16 11:18:00,37172.9687071
2018-07-16 11:19:00,37172.9687071
2018-07-16 11:20:00,37172.9687071
2018-07-16 11:21:00,37166.6330561
2018-07-16 11:22:00,37166.6330561
2018-07-16 11:23:00,37166.6330561
2018-07-16 11:24:00,37166.6330561
2018-07-16 11:25:00,37166.6330561
2018-07-16 11:26:00,37160.2974051
2018-07-16 11:27:00,37160.2974051
2018-07-16 11:28:00,37166.6330561
2018-07-16 11:29:00,37166.6330561
2018-07-16 11:30:00,37166.6330561
2018-07-16 11:31:00,37166.6330561
2018-07-16 11:32:00,37166.6330561
2018-07-16 11:33:00,37172.9687071
2018-07-16 11:34:00,37172.9687071
2018-07-16 11:35:00,37169.8008816
2018-07-16 11:36:00,37172.9687071
2018-07-16 11:37:00,37172.9687071
2018-07-16 11:38:00,37169.8008816
2018-07-16 11:39:00,37166.6330561
2018-07-16 11:40:00,37166.6330561
2018-07-16 11:41:00,37172.9687071
2018-07-16 11:42:00,37172.9687071
2018-07-16 11:43:00,37172.9687071
2018-07-16 11:44:00,37172.9687071
2018-07-16 11:45:00,37179.3043581
2018-07-16 11:46:00,37182.4721836
2018-07-16 11:47:00,37182.4721836
2018-07-16 11:48:00,37185.6400091
2018-07-16 11:49:00,37185.6400091
2018-07-16 11:50:00,37188.8078346
2018-07-16 11:51:00,37185.6400091
2018-07-16 11:52:00,37191.9756601
2018-07-16 11:53:00,37191.9756601
2018-07-16 11:54:00,37191.9756601
2018-07-16 11:55:00,37185.6400091
2018-07-16 11:56:00,37185.6400091
2018-07-16 11:57:00,37185.6400091
2018-07-16 11:58:00,37188.8078346
2018-07-16 11:59:00,37191.9756601
2018-07-17 01:00:00,37188.8078346
2018-07-17 01:01:00,37122.2834991
2018-07-17 01:02:00,37134.9548011
2018-07-17 01:03:00,37134.9548011
2018-07-17 01:04:00,37147.6261031
2018-07-17 01:05:00,37141.2904521
2018-07-17 01:06:00,37141.2904521
2018-07-17 01:07:00,37141.2904521
2018-07-17 01:08:00,37141.2904521
2018-07-17 01:09:00,37128.6191501
2018-07-17 01:10:00,37128.6191501
2018-07-17 01:11:00,37128.6191501
2018-07-17 01:12:00,37128.6191501
2018-07-17 01:13:00,37125.4513246
2018-07-17 01:14:00,37125.4513246
2018-07-17 01:15:00,37134.9548011
2018-07-17 01:16:00,37134.9548011
2018-07-17 01:17:00,37141.2904521
2018-07-17 01:18:00,37134.9548011
2018-07-17 01:19:00,37128.6191501
2018-07-17 01:20:00,37128.6191501
2018-07-17 01:21:00,37128.6191501
2018-07-17 01:22:00,37134.9548011
2018-07-17 01:23:00,37141.2904521
2018-07-17 01:24:00,37147.6261031
2018-07-17 01:25:00,37144.4582776
2018-07-17 01:26:00,37141.2904521
2018-07-17 01:27:00,37134.9548011
2018-07-17 01:28:00,37128.6191501
2018-07-17 01:29:00,37122.2834991
2018-07-17 01:30:00,37134.9548011
2018-07-17 01:31:00,37134.9548011
2018-07-17 01:32:00,37141.2904521
2018-07-17 01:33:00,37150.7939286
2018-07-17 01:34:00,37153.9617541
2018-07-17 01:35:00,37160.2974051
2018-07-17 01:36:00,37160.2974051
2018-07-17 01:37:00,37166.6330561
2018-07-17 01:38:00,37166.6330561
2018-07-17 01:39:00,37166.6330561
2018-07-17 01:40:00,37166.6330561
2018-07-17 01:41:00,37163.4652306
2018-07-17 01:42:00,37172.9687071
2018-07-17 01:43:00,37172.9687071
2018-07-17 01:44:00,37172.9687071
2018-07-17 01:45:00,37172.9687071
2018-07-17 01:46:00,37172.9687071
2018-07-17 01:47:00,37172.9687071
2018-07-17 01:48:00,37172.9687071
2018-07-17 01:49:00,37172.9687071
2018-07-17 01:50:00,37172.9687071
2018-07-17 01:51:00,37179.3043581
2018-07-17 01:52:00,37179.3043581
2018-07-17 01:53:00,37179.3043581
2018-07-17 01:54:00,37179.3043581
2018-07-17 01:55:00,37172.9687071
2018-07-17 01:56:00,37166.6330561
2018-07-17 01:57:00,37166.6330561
2018-07-17 01:58:00,37166.6330561
2018-07-17 01:59:00,37172.9687071
2018-07-17 02:00:00,37166.6330561
2018-07-17 02:01:00,37169.8008816
2018-07-17 02:02:00,37172.9687071
2018-07-17 02:03:00,37179.3043581
2018-07-17 02:04:00,37179.3043581
2018-07-17 02:05:00,37185.6400091
2018-07-17 02:06:00,37172.9687071
2018-07-17 02:07:00,37153.9617541
2018-07-17 02:08:00,37160.2974051
2018-07-17 02:09:00,37166.6330561
2018-07-17 02:10:00,37166.6330561
2018-07-17 02:11:00,37153.9617541
2018-07-17 02:12:00,37160.2974051
2018-07-17 02:13:00,37153.9617541
2018-07-17 02:14:00,37153.9617541
2018-07-17 02:15:00,37153.9617541
2018-07-17 02:16:00,37153.9617541
2018-07-17 02:17:00,37166.6330561
2018-07-17 02:18:00,37172.9687071
2018-07-17 02:19:00,37166.6330561
2018-07-17 02:20:00,37185.6400091
2018-07-17 02:21:00,37185.6400091
2018-07-17 02:22:00,37191.9756601
2018-07-17 02:23:00,37191.9756601
2018-07-17 02:24:00,37191.9756601
2018-07-17 02:25:00,37185.6400091
2018-07-17 02:26:00,37191.9756601
2018-07-17 02:27:00,37198.3113111
2018-07-17 02:28:00,37198.3113111
2018-07-17 02:29:00,37204.6469621
2018-07-17 02:30:00,37210.9826131
2018-07-17 02:31:00,37210.9826131
2018-07-17 02:32:00,37204.6469621
2018-07-17 02:33:00,37217.3182641
2018-07-17 02:34:00,37229.9895661
2018-07-17 02:35:00,37229.9895661
2018-07-17 02:36:00,37229.9895661
2018-07-17 02:37:00,37229.9895661
2018-07-17 02:38:00,37229.9895661
2018-07-17 02:39:00,37223.6539151
2018-07-17 02:40:00,37223.6539151
2018-07-17 02:41:00,37223.6539151
2018-07-17 02:42:00,37217.3182641
2018-07-17 02:43:00,37223.6539151
2018-07-17 02:44:00,37236.3252171
2018-07-17 02:45:00,37229.9895661
2018-07-17 02:46:00,37220.4860896
2018-07-17 02:47:00,37223.6539151
2018-07-17 02:48:00,37236.3252171
2018-07-17 02:49:00,37242.6608681
2018-07-17 02:50:00,37236.3252171
2018-07-17 02:51:00,37248.9965191
2018-07-17 02:52:00,37242.6608681
2018-07-17 02:53:00,37229.9895661
2018-07-17 02:54:00,37236.3252171
2018-07-17 02:55:00,37229.9895661
2018-07-17 02:56:00,37229.9895661
2018-07-17 02:57:00,37223.6539151
2018-07-17 02:58:00,37223.6539151
2018-07-17 02:59:00,37223.6539151
2018-07-17 03:00:00,37223.6539151
2018-07-17 03:01:00,37236.3252171
2018-07-17 03:02:00,37223.6539151
2018-07-17 03:03:00,37217.3182641
2018-07-17 03:04:00,37217.3182641
2018-07-17 03:05:00,37210.9826131
2018-07-17 03:06:00,37210.9826131
2018-07-17 03:07:00,37210.9826131
2018-07-17 03:08:00,37210.9826131
2018-07-17 03:09:00,37210.9826131
2018-07-17 03:10:00,37217.3182641
2018-07-17 03:11:00,37210.9826131
2018-07-17 03:12:00,37223.6539151
2018-07-17 03:13:00,37223.6539151
2018-07-17 03:14:00,37223.6539151
2018-07-17 03:15:00,37210.9826131
2018-07-17 03:16:00,37217.3182641
2018-07-17 03:17:00,37217.3182641
2018-07-17 03:18:00,37210.9826131
2018-07-17 03:19:00,37210.9826131
2018-07-17 03:20:00,37204.6469621
2018-07-17 03:21:00,37204.6469621
2018-07-17 03:22:00,37210.9826131
2018-07-17 03:23:00,37217.3182641
2018-07-17 03:24:00,37210.9826131
2018-07-17 03:25:00,37210.9826131
2018-07-17 03:26:00,37217.3182641
2018-07-17 03:27:00,37217.3182641
2018-07-17 03:28:00,37210.9826131
2018-07-17 03:29:00,37204.6469621
2018-07-17 03:30:00,37210.9826131
2018-07-17 03:31:00,37210.9826131
2018-07-17 03:32:00,37210.9826131
2018-07-17 03:33:00,37204.6469621
2018-07-17 03:34:00,37210.9826131
2018-07-17 03:35:00,37210.9826131
2018-07-17 03:36:00,37217.3182641
2018-07-17 03:37:00,37210.9826131
2018-07-17 03:38:00,37204.6469621
2018-07-17 03:39:00,37204.6469621
2018-07-17 03:40:00,37204.6469621
2018-07-17 03:41:00,37198.3113111
2018-07-17 03:42:00,37198.3113111
2018-07-17 03:43:00,37191.9756601
2018-07-17 03:44:00,37191.9756601
2018-07-17 03:45:00,37185.6400091
2018-07-17 03:46:00,37185.6400091
2018-07-17 03:47:00,37185.6400091
2018-07-17 03:48:00,37179.3043581
2018-07-17 03:49:00,37172.9687071
2018-07-17 03:50:00,37172.9687071
2018-07-17 03:51:00,37172.9687071
2018-07-17 03:52:00,37172.9687071
2018-07-17 03:53:00,37172.9687071
2018-07-17 03:54:00,37179.3043581
2018-07-17 03:55:00,37176.1365326
2018-07-17 03:56:00,37172.9687071
2018-07-17 03:57:00,37172.9687071
2018-07-17 03:58:00,37179.3043581
2018-07-17 03:59:00,37179.3043581
2018-07-17 04:00:00,37179.3043581
2018-07-17 04:01:00,37179.3043581
2018-07-17 04:02:00,37179.3043581
2018-07-17 04:03:00,37172.9687071
2018-07-17 04:04:00,37179.3043581
2018-07-17 04:05:00,37172.9687071
2018-07-17 04:06:00,37179.3043581
2018-07-17 04:07:00,37179.3043581
2018-07-17 04:08:00,37172.9687071
2018-07-17 04:09:00,37179.3043581
2018-07-17 04:10:00,37179.3043581
2018-07-17 04:11:00,37179.3043581
2018-07-17 04:12:00,37172.9687071
2018-07-17 04:13:00,37172.9687071
2018-07-17 04:14:00,37172.9687071
2018-07-17 04:15:00,37172.9687071
2018-07-17 04:16:00,37172.9687071
2018-07-17 04:17:00,37172.9687071
2018-07-17 04:18:00,37172.9687071
2018-07-17 04:19:00,37172.9687071
2018-07-17 04:20:00,37172.9687071
2018-07-17 04:21:00,37172.9687071
2018-07-17 04:22:00,37172.9687071
2018-07-17 04:23:00,37172.9687071
2018-07-17 04:24:00,37179.3043581
2018-07-17 04:25:00,37185.6400091
2018-07-17 04:26:00,37179.3043581
2018-07-17 04:27:00,37185.6400091
2018-07-17 04:28:00,37191.9756601
2018-07-17 04:29:00,37179.3043581
2018-07-17 04:30:00,37179.3043581
2018-07-17 04:31:00,37179.3043581
2018-07-17 04:32:00,37179.3043581
2018-07-17 04:33:00,37179.3043581
2018-07-17 04:34:00,37179.3043581
2018-07-17 04:35:00,37179.3043581
2018-07-17 04:36:00,37185.6400091
2018-07-17 04:37:00,37185.6400091
2018-07-17 04:38:00,37191.9756601
2018-07-17 04:39:00,37188.8078346
2018-07-17 04:40:00,37185.6400091
2018-07-17 04:41:00,37185.6400091
2018-07-17 04:42:00,37172.9687071
2018-07-17 04:43:00,37179.3043581
2018-07-17 04:44:00,37179.3043581
2018-07-17 04:45:00,37191.9756601
2018-07-17 04:46:00,37198.3113111
2018-07-17 04:47:00,37191.9756601
2018-07-17 04:48:00,37185.6400091
2018-07-17 04:49:00,37185.6400091
2018-07-17 04:50:00,37185.6400091
2018-07-17 04:51:00,37191.9756601
2018-07-17 04:52:00,37191.9756601
2018-07-17 04:53:00,37191.9756601
2018-07-17 04:54:00,37191.9756601
2018-07-17 04:55:00,37204.6469621
2018-07-17 04:56:00,37204.6469621
2018-07-17 04:57:00,37198.3113111
2018-07-17 04:58:00,37204.6469621
2018-07-17 04:59:00,37198.3113111
2018-07-17 05:00:00,37204.6469621
2018-07-17 05:01:00,37210.9826131
2018-07-17 05:02:00,37217.3182641
2018-07-17 05:03:00,37217.3182641
2018-07-17 05:04:00,37214.1504386
2018-07-17 05:05:00,37214.1504386
2018-07-17 05:06:00,37217.3182641
2018-07-17 05:07:00,37214.1504386
2018-07-17 05:08:00,37210.9826131
2018-07-17 05:09:00,37223.6539151
2018-07-17 05:10:00,37217.3182641
2018-07-17 05:11:00,37223.6539151
2018-07-17 05:12:00,37217.3182641
2018-07-17 05:13:00,37217.3182641
2018-07-17 05:14:00,37217.3182641
2018-07-17 05:15:00,37223.6539151
2018-07-17 05:16:00,37226.8217406
2018-07-17 05:17:00,37223.6539151
2018-07-17 05:18:00,37223.6539151
2018-07-17 05:19:00,37229.9895661
2018-07-17 05:20:00,37248.9965191
2018-07-17 05:21:00,37248.9965191
2018-07-17 05:22:00,37252.1643446
2018-07-17 05:23:00,37245.8286936
2018-07-17 05:24:00,37248.9965191
2018-07-17 05:25:00,37248.9965191
2018-07-17 05:26:00,37248.9965191
2018-07-17 05:27:00,37242.6608681
2018-07-17 05:28:00,37248.9965191
2018-07-17 05:29:00,37242.6608681
2018-07-17 05:30:00,37248.9965191
2018-07-17 05:31:00,37255.3321701
2018-07-17 05:32:00,37248.9965191
2018-07-17 05:33:00,37245.8286936
2018-07-17 05:34:00,37248.9965191
2018-07-17 05:35:00,37242.6608681
2018-07-17 05:36:00,37242.6608681
2018-07-17 05:37:00,37242.6608681
2018-07-17 05:38:00,37236.3252171
2018-07-17 05:39:00,37236.3252171
2018-07-17 05:40:00,37229.9895661
2018-07-17 05:41:00,37226.8217406
2018-07-17 05:42:00,37229.9895661
2018-07-17 05:43:00,37229.9895661
2018-07-17 05:44:00,37229.9895661
2018-07-17 05:45:00,37229.9895661
2018-07-17 05:46:00,37236.3252171
2018-07-17 05:47:00,37229.9895661
2018-07-17 05:48:00,37236.3252171
2018-07-17 05:49:00,37236.3252171
2018-07-17 05:50:00,37229.9895661
2018-07-17 05:51:00,37229.9895661
2018-07-17 05:52:00,37223.6539151
2018-07-17 05:53:00,37229.9895661
2018-07-17 05:54:00,37223.6539151
2018-07-17 05:55:00,37223.6539151
2018-07-17 05:56:00,37229.9895661
2018-07-17 05:57:00,37229.9895661
2018-07-17 05:58:00,37229.9895661
2018-07-17 05:59:00,37229.9895661
2018-07-17 06:00:00,37226.8217406
2018-07-17 06:01:00,37229.9895661
2018-07-17 06:02:00,37223.6539151
2018-07-17 06:03:00,37223.6539151
2018-07-17 06:04:00,37217.3182641
2018-07-17 06:05:00,37223.6539151
2018-07-17 06:06:00,37217.3182641
2018-07-17 06:07:00,37217.3182641
2018-07-17 06:08:00,37217.3182641
2018-07-17 06:09:00,37226.8217406
2018-07-17 06:10:00,37223.6539151
2018-07-17 06:11:00,37220.4860896
2018-07-17 06:12:00,37223.6539151
2018-07-17 06:13:00,37223.6539151
2018-07-17 06:14:00,37223.6539151
2018-07-17 06:15:00,37223.6539151
2018-07-17 06:16:00,37229.9895661
2018-07-17 06:17:00,37223.6539151
2018-07-17 06:18:00,37229.9895661
2018-07-17 06:19:00,37229.9895661
2018-07-17 06:20:00,37223.6539151
2018-07-17 06:21:00,37217.3182641
2018-07-17 06:22:00,37223.6539151
2018-07-17 06:23:00,37223.6539151
2018-07-17 06:24:00,37223.6539151
2018-07-17 06:25:00,37226.8217406
2018-07-17 06:26:00,37223.6539151
2018-07-17 06:27:00,37223.6539151
2018-07-17 06:28:00,37217.3182641
2018-07-17 06:29:00,37210.9826131
2018-07-17 06:30:00,37217.3182641
2018-07-17 06:31:00,37217.3182641
2018-07-17 06:32:00,37217.3182641
2018-07-17 06:33:00,37217.3182641
2018-07-17 06:34:00,37223.6539151
2018-07-17 06:35:00,37223.6539151
2018-07-17 06:36:00,37217.3182641
2018-07-17 06:37:00,37217.3182641
2018-07-17 06:38:00,37217.3182641
2018-07-17 06:39:00,37217.3182641
2018-07-17 06:40:00,37210.9826131
2018-07-17 06:41:00,37217.3182641
2018-07-17 06:42:00,37217.3182641
2018-07-17 06:43:00,37223.6539151
2018-07-17 06:44:00,37223.6539151
2018-07-17 06:45:00,37223.6539151
2018-07-17 06:46:00,37223.6539151
2018-07-17 06:47:00,37223.6539151
2018-07-17 06:48:00,37229.9895661
2018-07-17 06:49:00,37229.9895661
2018-07-17 06:50:00,37229.9895661
2018-07-17 06:51:00,37242.6608681
2018-07-17 06:52:00,37242.6608681
2018-07-17 06:53:00,37242.6608681
2018-07-17 06:54:00,37242.6608681
2018-07-17 06:55:00,37242.6608681
2018-07-17 06:56:00,37242.6608681
2018-07-17 06:57:00,37242.6608681
2018-07-17 06:58:00,37242.6608681
2018-07-17 06:59:00,37236.3252171
2018-07-17 07:00:00,37248.9965191
2018-07-17 07:01:00,37255.3321701
2018-07-17 07:02:00,37248.9965191
2018-07-17 07:03:00,37248.9965191
2018-07-17 07:04:00,37248.9965191
2018-07-17 07:05:00,37236.3252171
2018-07-17 07:06:00,37236.3252171
2018-07-17 07:07:00,37242.6608681
2018-07-17 07:08:00,37239.4930426
2018-07-17 07:09:00,37242.6608681
2018-07-17 07:10:00,37236.3252171
2018-07-17 07:11:00,37242.6608681
2018-07-17 07:12:00,37242.6608681
2018-07-17 07:13:00,37242.6608681
2018-07-17 07:14:00,37248.9965191
2018-07-17 07:15:00,37255.3321701
2018-07-17 07:16:00,37261.6678211
2018-07-17 07:17:00,37268.0034721
2018-07-17 07:18:00,37271.1712976
2018-07-17 07:19:00,37268.0034721
2018-07-17 07:20:00,37271.1712976
2018-07-17 07:21:00,37268.0034721
2018-07-17 07:22:00,37268.0034721
2018-07-17 07:23:00,37268.0034721
2018-07-17 07:24:00,37268.0034721
2018-07-17 07:25:00,37271.1712976
2018-07-17 07:26:00,37268.0034721
2018-07-17 07:27:00,37268.0034721
2018-07-17 07:28:00,37268.0034721
2018-07-17 07:29:00,37261.6678211
2018-07-17 07:30:00,37258.4999956
2018-07-17 07:31:00,37261.6678211
2018-07-17 07:32:00,37258.4999956
2018-07-17 07:33:00,37261.6678211
2018-07-17 07:34:00,37255.3321701
2018-07-17 07:35:00,37248.9965191
2018-07-17 07:36:00,37248.9965191
2018-07-17 07:37:00,37248.9965191
2018-07-17 07:38:00,37248.9965191
2018-07-17 07:39:00,37248.9965191
2018-07-17 07:40:00,37242.6608681
2018-07-17 07:41:00,37255.3321701
2018-07-17 07:42:00,37248.9965191
2018-07-17 07:43:00,37255.3321701
2018-07-17 07:44:00,37255.3321701
2018-07-17 07:45:00,37255.3321701
2018-07-17 07:46:00,37255.3321701
2018-07-17 07:47:00,37261.6678211
2018-07-17 07:48:00,37268.0034721
2018-07-17 07:49:00,37268.0034721
2018-07-17 07:50:00,37268.0034721
2018-07-17 07:51:00,37287.0104251
2018-07-17 07:52:00,37287.0104251
2018-07-17 07:53:00,37280.6747741
2018-07-17 07:54:00,37280.6747741
2018-07-17 07:55:00,37280.6747741
2018-07-17 07:56:00,37287.0104251
2018-07-17 07:57:00,37283.8425996
2018-07-17 07:58:00,37287.0104251
2018-07-17 07:59:00,37280.6747741
2018-07-17 08:00:00,37293.3460761
2018-07-17 08:01:00,37293.3460761
2018-07-17 08:02:00,37296.5139016
2018-07-17 08:03:00,37293.3460761
2018-07-17 08:04:00,37287.0104251
2018-07-17 08:05:00,37287.0104251
2018-07-17 08:06:00,37293.3460761
2018-07-17 08:07:00,37293.3460761
2018-07-17 08:08:00,37293.3460761
2018-07-17 08:09:00,37293.3460761
2018-07-17 08:10:00,37293.3460761
2018-07-17 08:11:00,37287.0104251
2018-07-17 08:12:00,37287.0104251
2018-07-17 08:13:00,37287.0104251
2018-07-17 08:14:00,37287.0104251
2018-07-17 08:15:00,37287.0104251
2018-07-17 08:16:00,37283.8425996
2018-07-17 08:17:00,37280.6747741
2018-07-17 08:18:00,37280.6747741
2018-07-17 08:19:00,37293.3460761
2018-07-17 08:20:00,37287.0104251
2018-07-17 08:21:00,37293.3460761
2018-07-17 08:22:00,37299.6817271
2018-07-17 08:23:00,37299.6817271
2018-07-17 08:24:00,37293.3460761
2018-07-17 08:25:00,37299.6817271
2018-07-17 08:26:00,37309.1852036
2018-07-17 08:27:00,37306.0173781
2018-07-17 08:28:00,37312.3530291
2018-07-17 08:29:00,37318.6886801
2018-07-17 08:30:00,37325.0243311
2018-07-17 08:31:00,37325.0243311
2018-07-17 08:32:00,37318.6886801
2018-07-17 08:33:00,37318.6886801
2018-07-17 08:34:00,37318.6886801
2018-07-17 08:35:00,37318.6886801
2018-07-17 08:36:00,37318.6886801
2018-07-17 08:37:00,37325.0243311
2018-07-17 08:38:00,37331.3599821
2018-07-17 08:39:00,37337.6956331
2018-07-17 08:40:00,37337.6956331
2018-07-17 08:41:00,37331.3599821
2018-07-17 08:42:00,37325.0243311
2018-07-17 08:43:00,37325.0243311
2018-07-17 08:44:00,37325.0243311
2018-07-17 08:45:00,37325.0243311
2018-07-17 08:46:00,37325.0243311
2018-07-17 08:47:00,37331.3599821
2018-07-17 08:48:00,37331.3599821
2018-07-17 08:49:00,37331.3599821
2018-07-17 08:50:00,37318.6886801
2018-07-17 08:51:00,37306.0173781
2018-07-17 08:52:00,37306.0173781
2018-07-17 08:53:00,37293.3460761
2018-07-17 08:54:00,37296.5139016
2018-07-17 08:55:00,37293.3460761
2018-07-17 08:56:00,37283.8425996
2018-07-17 08:57:00,37287.0104251
2018-07-17 08:58:00,37293.3460761
2018-07-17 08:59:00,37290.1782506
2018-07-17 09:00:00,37293.3460761
2018-07-17 09:01:00,37293.3460761
2018-07-17 09:02:00,37293.3460761
2018-07-17 09:03:00,37293.3460761
2018-07-17 09:04:00,37293.3460761
2018-07-17 09:05:00,37287.0104251
2018-07-17 09:06:00,37293.3460761
2018-07-17 09:07:00,37287.0104251
2018-07-17 09:08:00,37293.3460761
2018-07-17 09:09:00,37287.0104251
2018-07-17 09:10:00,37287.0104251
2018-07-17 09:11:00,37287.0104251
2018-07-17 09:12:00,37287.0104251
2018-07-17 09:13:00,37287.0104251
2018-07-17 09:14:00,37287.0104251
2018-07-17 09:15:00,37293.3460761
2018-07-17 09:16:00,37299.6817271
2018-07-17 09:17:00,37299.6817271
2018-07-17 09:18:00,37306.0173781
2018-07-17 09:19:00,37306.0173781
2018-07-17 09:20:00,37318.6886801
2018-07-17 09:21:00,37312.3530291
2018-07-17 09:22:00,37312.3530291
2018-07-17 09:23:00,37312.3530291
2018-07-17 09:24:00,37312.3530291
2018-07-17 09:25:00,37306.0173781
2018-07-17 09:26:00,37318.6886801
2018-07-17 09:27:00,37318.6886801
2018-07-17 09:28:00,37309.1852036
2018-07-17 09:29:00,37306.0173781
2018-07-17 09:30:00,37299.6817271
2018-07-17 09:31:00,37299.6817271
2018-07-17 09:32:00,37306.0173781
2018-07-17 09:33:00,37293.3460761
2018-07-17 09:34:00,37287.0104251
2018-07-17 09:35:00,37280.6747741
2018-07-17 09:36:00,37280.6747741
2018-07-17 09:37:00,37280.6747741
2018-07-17 09:38:00,37287.0104251
2018-07-17 09:39:00,37280.6747741
2018-07-17 09:40:00,37287.0104251
2018-07-17 09:41:00,37293.3460761
2018-07-17 09:42:00,37290.1782506
2018-07-17 09:43:00,37306.0173781
2018-07-17 09:44:00,37312.3530291
2018-07-17 09:45:00,37312.3530291
2018-07-17 09:46:00,37318.6886801
2018-07-17 09:47:00,37318.6886801
2018-07-17 09:48:00,37325.0243311
2018-07-17 09:49:00,37318.6886801
2018-07-17 09:50:00,37312.3530291
2018-07-17 09:51:00,37318.6886801
2018-07-17 09:52:00,37318.6886801
2018-07-17 09:53:00,37318.6886801
2018-07-17 09:54:00,37318.6886801
2018-07-17 09:55:00,37318.6886801
2018-07-17 09:56:00,37312.3530291
2018-07-17 09:57:00,37306.0173781
2018-07-17 09:58:00,37306.0173781
2018-07-17 09:59:00,37306.0173781
2018-07-17 10:00:00,37306.0173781
2018-07-17 10:01:00,37306.0173781
2018-07-17 10:02:00,37306.0173781
2018-07-17 10:03:00,37312.3530291
2018-07-17 10:04:00,37312.3530291
2018-07-17 10:05:00,37312.3530291
2018-07-17 10:06:00,37318.6886801
2018-07-17 10:07:00,37318.6886801
2018-07-17 10:08:00,37318.6886801
2018-07-17 10:09:00,37325.0243311
2018-07-17 10:10:00,37331.3599821
2018-07-17 10:11:00,37325.0243311
2018-07-17 10:12:00,37318.6886801
2018-07-17 10:13:00,37318.6886801
2018-07-17 10:14:00,37331.3599821
2018-07-17 10:15:00,37331.3599821
2018-07-17 10:16:00,37325.0243311
2018-07-17 10:17:00,37331.3599821
2018-07-17 10:18:00,37325.0243311
2018-07-17 10:19:00,37325.0243311
2018-07-17 10:20:00,37328.1921566
2018-07-17 10:21:00,37331.3599821
2018-07-17 10:22:00,37325.0243311
2018-07-17 10:23:00,37325.0243311
2018-07-17 10:24:00,37325.0243311
